"id";"objectid";"point_lat";"point_lng";"shape";"objecttype";"type_velo";"ligging";"straatnaam";"huisnummer";"aanvulling";"district";"postcode";"objectcode";"gebruik"
"1";"34245";"51.22808499687600";"4.40899727964430";"";"VELOSTATION";"";"";"GODEFRIDUSKAAI";" ";"thv Q-park";"ANTWERPEN";"2000";"VE_0000129";"IN_GEBRUIK"
"4";"34246";"51.21769705473500";"4.42074669702170";"";"VELOSTATION";"ENKELZIJDIG";"";"Koningin Astridplein (2018)";" ";"to station 1";"ANTWERPEN";"2018";"VE_0000002";"IN_GEBRUIK"
"7";"34247";"51.21823125905600";"4.41237587196630";"";"VELOSTATION";"ENKELZIJDIG";"";"Meir (2000)";"84";" ";"ANTWERPEN";"2000";"VE_0000026";"IN_GEBRUIK"
"10";"34248";"51.21903296640100";"4.40404667608570";"";"VELOSTATION";"";"";"Eiermarkt (2000)";"12";" ";"ANTWERPEN";"2000";"VE_0000019";"IN_GEBRUIK"
"13";"34249";"51.21868479063400";"4.40065792907480";"";"VELOSTATION";"ENKELZIJDIG";"";"Groenkerkhofstraat (2000)";"2";"thv nationalestraat";"ANTWERPEN";"2000";"VE_0000020";"IN_GEBRUIK"
"16";"34250";"51.21203597374700";"4.38969413428130";"";"VELOSTATION";"";"";"Cockerillkaai (2000)";" ";"to leuvenstraat";"ANTWERPEN";"2000";"VE_0000035";"IN_GEBRUIK"
"19";"34251";"51.20472224976700";"4.39628968011120";"";"VELOSTATION";"ENKELZIJDIG";"";"PALEISSTRAAT";"147";" ";"ANTWERPEN";"2018";"VE_0000094";"IN_GEBRUIK"
"22";"34252";"51.19932102356700";"4.39007484471240";"";"VELOSTATION";"";"";"Singel (2018)";" ";"tssn singel en brederodestraat";"ANTWERPEN";"2018";"VE_0000012";"IN_GEBRUIK"
"25";"34253";"51.21951425466400";"4.41168895065670";"";"VELOSTATION";"";"";"Lange Nieuwstraat (2000)";"105";" ";"ANTWERPEN";"2000";"VE_0000027";"IN_GEBRUIK"
"28";"34254";"51.20583274741900";"4.41837091686160";"";"VELOSTATION";"";"";"Belgiëlei (2018)";"99";" ";"ANTWERPEN";"2018";"VE_0000044";"IN_GEBRUIK"
